POOL_ADDRESS,POOL_NAME,GROSS_LIQUIDITY
0x7ab294c2769a2d3c6d8d89a7802e25042613b24e,WETH-UBI 10000 200,11592.600772568745
0x5598931bfbb43eec686fa4b5b92b5152ebadc2f6,COMP-WETH 10000 200,10622.74645255518
0x35c349a2cadbbcdc4b3e5ca6d6e8e32e53df0c86,BID-WETH 10000 200,9699.793269933965
0x973a67726227ce2747d5710eb44a53fb9abfd02a,DAI-UST 500 10,8237.469011298885
0x38a209e1cbd71a02b4922eb4e4e5f507499e9899,٨-WETH 3000 60,6878.673993465907
0x05a9716cd1c08361252ebd7c8c88c3b26c5ab73f,API3-WETH 10000 200,6759.6532996255055
0x0068bb604413dfee5c453907bb150d0312a0f257,SXHC-WETH 500 10,5990.145765677965
0x679a26814bbdee092367f41e8aefd73695fb9c6b,BPT-WETH 3000 60,4811.740440361389
0x60c51a68d3c75b62f723e6a2da29c6f1fbe4b7c5,WETH-GTC 500 10,4426.315854644495
0xe204a0f8d72b56ef129b913a4d737d6e800c0508,LTO-WETH 10000 200,2630.2477635768937
0xab2c0a53f1be637d149e48f5e67071a6b24a6244,POND-WETH 3000 60,2151.138109854925
0xf03e648f2acd75e060e4a7054ee6eebcbca07b86,EVO-WETH 10000 200,2109.739365166498
0x7eac602913b707a6115f384fc4cfd7c5a68f538e,⚗️-USDC 3000 60,1677.0876847940021
0x88bbf71ac44c061afe891ef142854fe07f74710d,BNT-USDC 3000 60,67.59699739989706
0x784602c0cb1a476d1d2ec7ade08fdd27e228177c,RUSD-USDT 500 10,0.03967912133382015
0x94e4b2e24523cf9b3e631a6943c346df9687c723,SHIB-WETH 500 10,1.0411711559141193e-13
