BLOCK_HOUR,POOL_ADDRESS,POOL_NAME,N_TRADES,N_TRADERS,TRADING_VOL_TOKEN0,TRADING_VOL_TOKEN1
2021-05-24T00:00:00Z,0x8661ae7918c0115af9e3691662f605e9c550ddc9,MANA-WETH 3000 60,20,11,-3965.1599295604997,77958.27673552027
2021-05-24T00:00:00Z,0x683d6a62fc628d9b1ff7662dde2a17856a05e4a1,BANK-USDC 3000 60,20,10,62643.79539455963,99024.39135205405
2021-05-24T00:00:00Z,0xa44002e8062c90a8f8b3cfce6ec70990bba28ae5,WETH-ROOK 3000 60,20,14,1568.4584754175849,14932.456498059873
2021-05-24T00:00:00Z,0x5cccad2332292cd5882365bb3584424241ab2210,MKR-USDT 3000 60,19,9,-17432.81203606054,34851.946327597856
2021-05-24T00:00:00Z,0x19e286157200418d6a1f7d1df834b82e65c920aa,SUSHI-WETH 10000 200,19,14,-15860.03240775874,47420.379223524025
2021-05-24T00:00:00Z,0xa79e94cb24b2f2fc75b1d30a315cf2d266628a7c,UOS-USDT 3000 60,18,18,-7960.397665472463,8802.829128430752
2021-05-24T00:00:00Z,0x325365ed8275f6a74cac98917b7f6face8da533b,CHZ-WETH 10000 200,18,14,794.6095823845989,30974.487017949537
2021-05-24T00:00:00Z,0x43a4fbb71025fa2c3073a58fee6de69da33b3aa8,XRT-WETH 3000 60,18,13,-3602.682243205546,13177.79128082803
2021-05-24T00:00:00Z,0x28e810d4b33ae24fe6f721a21e42230bcb019da1,WETH-DFND 3000 60,18,10,-7199.127094331576,16188.242908143082
2021-05-24T00:00:00Z,0xb1914469141ebb6e244e75cee3f35d43bf6b85e5,TRAC-WETH 3000 60,18,15,-16123.984179286159,25550.858530504855
2021-05-24T00:00:00Z,0x99530180bd113a816f5920d0748528cfb2009585,SCOIN-USDT 3000 60,18,18,-13930.48262929323,69192.75863157594
2021-05-24T00:00:00Z,0x138080a0036e8c2c4c79d21e2a2c535fe0887d68,FEI-USDC 10000 200,17,5,-2123995.66776933,2129028.2861026805
2021-05-24T00:00:00Z,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC-renBTC 500 10,17,9,-41652.49496357883,303354.50386144035
2021-05-24T00:00:00Z,0x9663f2ca0454accad3e094448ea6f77443880454,LUSD-WETH 3000 60,17,8,51855.39768122752,68474.20744303489
2021-05-24T00:00:00Z,0x5447b274859457f11d7cc7131b378363bbee4e3a,NDX-WETH 3000 60,17,11,-568.7137686391657,17279.985442263678
2021-05-24T00:00:00Z,0xbaec0e18c770993ffb1175fef493b5113cc6e32d,ILV-WETH 10000 200,16,8,123.54062822977187,11408.845399014048
2021-05-24T00:00:00Z,0xbc9b75563e8df1dc761589444103342ec582cc29,FORTH-WETH 3000 60,16,7,1953.761425286095,38562.254941009975
2021-05-24T00:00:00Z,0x3b4f91c5f96d39235b1baf54dc0cfde5b6d36982,renDOGE-USDC 10000 200,16,8,-53554.83198478776,160306.74671787306
