HOUR,DEPOSITS,WITHDRAWALS
2021-05-14T10:00:00Z,7431024.978509519,-3865381.9523533797
2021-05-14T09:00:00Z,2519457.288674034,-14504478.8496692
2021-05-14T08:00:00Z,10916268.303207377,-7899603.598638306
2021-05-14T07:00:00Z,5398236.572957772,-4907169.628669874
2021-05-14T06:00:00Z,3270869.5309347697,-1297726.1878120475
2021-05-14T05:00:00Z,5065365.911426467,-3446689.87252814
2021-05-14T04:00:00Z,5339676.5071609,-1279175.3838330994
2021-05-14T03:00:00Z,4863471.588752351,-316845.72516716784
2021-05-14T02:00:00Z,36218343.49717854,-21795475.288257927
2021-05-14T01:00:00Z,8543403.068249907,-9820612.576903805
2021-05-14T00:00:00Z,6334497.725239514,-1881006.7611466935
2021-05-13T23:00:00Z,5574162.622311946,-7399042.277288111
2021-05-13T22:00:00Z,11604923.539387874,-2491823.7250514715
2021-05-13T21:00:00Z,6007371.693593565,-3204430.1227484886
2021-05-13T20:00:00Z,7935055.0294387285,-2362544.154811572
2021-05-13T19:00:00Z,8003132.651520486,-4783707.836669964
2021-05-13T18:00:00Z,23532234.93823958,-33946491.743418865
2021-05-13T17:00:00Z,3157149.769781637,-11027283.035967663
2021-05-13T16:00:00Z,5245810.5277071325,-2505384.8311843914
2021-05-13T15:00:00Z,6671107.568764071,-9178778.534969816
2021-05-13T14:00:00Z,29595190.895360522,-4857990.022234378
2021-05-13T13:00:00Z,11012579.146144647,-13154144.082596557
2021-05-13T12:00:00Z,5421241.929918668,-8855930.472644309
2021-05-13T11:00:00Z,15373797.35398825,-10774026.381702296
2021-05-13T10:00:00Z,29866271.934453506,-29736300.870264374
2021-05-13T09:00:00Z,14770799.334766444,-5345150.448031569
2021-05-13T08:00:00Z,8092559.500779875,-3782428.7145402236
2021-05-13T07:00:00Z,2318369.4587646914,-554539.1139087973
2021-05-13T06:00:00Z,2083519.2875397897,-914316.1709905057
2021-05-13T05:00:00Z,2421707.6174829975,-1783669.1114983396
2021-05-13T04:00:00Z,5420203.827170776,-2879128.1777666174
2021-05-13T03:00:00Z,7809058.067581701,-3416161.138079064
2021-05-13T02:00:00Z,14514116.969116328,-1512690.474994066
2021-05-13T01:00:00Z,4190310.6605537576,-4175618.731422243
2021-05-13T00:00:00Z,2065402.5217306195,-5118327.640552497
2021-05-12T23:00:00Z,40706403.20439705,-1540994.516550227
2021-05-12T22:00:00Z,2286364.8426517653,-5734392.49486969
2021-05-12T21:00:00Z,2487318.628474897,-2226494.8905007313
2021-05-12T20:00:00Z,36766531.43143735,-2007698.6077037372
2021-05-12T19:00:00Z,8127385.239844684,-1125268.8419156834
2021-05-12T18:00:00Z,90679744.88485697,-6002658.512367545
2021-05-12T17:00:00Z,679142.8412932458,-11111982.265011199
2021-05-12T16:00:00Z,7653568.021755669,-2859499.4580880664
2021-05-12T15:00:00Z,16029890.402485816,-10887993.98889858
2021-05-12T14:00:00Z,1086317.068980719,-446915.8246540174
2021-05-12T13:00:00Z,3826915.3703483744,-3709315.9470097437
2021-05-12T12:00:00Z,2514672.7936095563,-10173609.158113336
2021-05-12T11:00:00Z,2405056.8878035145,-733974.1891469146
2021-05-12T10:00:00Z,2264173.766517842,-2507226.95481478
2021-05-12T09:00:00Z,5715449.338277159,-2204320.373893295
2021-05-12T08:00:00Z,4167812.927692189,-974963.08673433
2021-05-12T07:00:00Z,9330867.502306327,-8428146.200317478
2021-05-12T06:00:00Z,8996072.802318446,-1852705.4462683804
2021-05-12T05:00:00Z,10953117.134784022,-6445411.729907074
2021-05-12T04:00:00Z,9756523.905815328,-10899364.392783912
2021-05-12T03:00:00Z,1467072.2137434117,-2114078.0323323845
2021-05-12T02:00:00Z,11390852.333336586,-844454.4056280244
2021-05-12T01:00:00Z,6805133.547834812,-5689184.838645514
